response_id,age,gender,ser,ser_orient,race,relationship,children,plan_for_children,age_of_1st_child,number_children,soi,risk_taking,d_dk,ksf,tw_in,tw_hhin,tw_roommates,tw_dens,tw_sr,tw_le,mean_av_income,prim_av_income,rec_av_income,los_av_income,prim_los_av_income,rec_los_av_income,mean_density,prim_density,rec_density,los_density,prim_los_density,rec_los_density,mean_sex_ratio,prim_sex_ratio,rec_sex_ratio,los_sex_ratio,prim_los_sex_ratio,rec_los_sex_ratio,mean_life_expct,prim_life_expct,rec_life_expct,los_life_expct,prim_los_life_expct,rec_los_life_expct
1,24,Female,Female,Heterosexual,Hispanic / Latino(a),Single,No,Definitely yes,30,10,1.1111111111111112,2.4285714285714284,0.15876862958788554,0.06570681992202705,46956.52173913043,106956.52173913043,7.869565217391305,4913.04347826087,50.43478260869565,61.30434782608695,70000,18666.666666666664,113333.33333333333,9391.304347826086,3652.1739130434776,22498.55072463768,4200,8973.333333333334,4706.666666666667,982.608695652174,1751.304347826087,969.2753623188405,51.2,49.346666666666664,52.733333333333334,10.08695652173913,9.86608695652174,10.546666666666667,58,51.46666666666667,67.73333333333333,12.26086956521739,10.57391304347826,13.820289855072463
2,21,Male,Male,Heterosexual,White / Caucasian,Dating,No,Probably yes,26,2,2.6666666666666665,2.857142857142857,0.0025111537475380444,-0.2453065771022819,35952.380952380954,191047.61904761905,5.476190476190476,430.95238095238096,52.23809523809524,72.85714285714286,33750,30750,38625,8988.095238095239,7904.761904761905,9863.095238095239,537.5,411.25,907.5,107.73809523809523,99.46428571428571,225.83333333333331,50.5,49.4,50.849999999999994,13.05952380952381,12.485714285714286,12.823809523809523,72.5,70.625,70.625,18.214285714285715,17.708333333333332,17.648809523809522
3,20,Female,Female,Heterosexual,White / Caucasian,Dating,No,Definitely yes,26,4,1.3333333333333333,2,0.0010018370497569505,0.25393066014488513,60761.90476190476,86428.57142857143,5.666666666666667,376.1904761904762,49.904761904761905,67.04761904761905,21500,60250,7500,15190.47619047619,17035.714285714286,2866.6666666666665,1762.5,492.5,1176.25,94.04761904761904,33.57142857142857,239.16666666666666,45.25,49.275,50.6,12.476190476190476,12.667857142857143,12.913095238095236,33.25,66.625,21.25,16.76190476190476,18.351190476190474,6.1726190476190474
4,18,Non-binary / third gender,Male,Asexual,White / Caucasian,Dating,No,Definitely not,NA,NA,4.333333333333333,2.857142857142857,3.989892308195327e-4,-0.05023282457282065,52291.666666666664,191875,7.208333333333333,70.875,54.833333333333336,77.91666666666667,71000,49000,31400,10458.333333333334,9266.666666666666,4830.555555555556,202.2,36.09333333333332,616.7866666666667,14.174999999999999,4.778888888888888,128.61055555555555,54,55.6,51.6,10.966666666666667,11.143333333333334,10.266111111111112,76,79.2,71.2,15.583333333333334,15.9,14.138888888888891
5,18,Female,Female,Heterosexual,White / Caucasian,Single,No,Probably yes,NA,2,6.555555555555555,2.5,0.009723443085103638,-0.0086227422900808,193787.23404255317,287446.8085106383,4,8765.95744680851,51.04255319148936,76.82978723404256,127000,175666.6666666667,NA,96893.61702127659,98964.53900709219,50297.87234042552,6250,8083.333333333334,NA,4382.978723404255,4460.992907801418,2627.659574468085,51.5,51.16666666666667,NA,25.521276595744677,25.507092198581557,25.84042553191489,75,76.33333333333334,NA,38.41489361702127,38.47163120567375,37.138297872340424
6,20,Female,Female,Bisexual / Pansexual,White / Caucasian,Dating,No,Definitely yes,24,2,1.3333333333333333,1.7857142857142858,0.06444679235407182,-1.2711004873015062,30714.285714285714,22857.14285714286,7.142857142857143,49.642857142857146,66,73.21428571428571,36250,55375,22750,7678.571428571428,12910.714285714284,5571.428571428572,42.5,49.375,16.875,12.410714285714286,12.392857142857142,4.705357142857142,68.5,70.5,62.75,16.5,17.32142857142857,15.589285714285714,67.5,65.875,61.625,18.303571428571427,16.839285714285715,15.705357142857142
7,19,Female,Female,Heterosexual,White / Caucasian,Single,No,Definitely yes,26,3,3.4444444444444446,2.357142857142857,0.0025111537475380444,-0.20256485065307464,62558.13953488372,97325.58139534884,4.651162790697675,163.02325581395348,47.604651162790695,81.27906976744185,62000,69266.66666666667,55533.333333333336,12511.627906976742,13817.05426356589,11001.550387596899,372,99.33333333333331,897.4666666666667,32.604651162790695,14.70077519379845,179.6,51.2,46.88,54.4,9.52093023255814,9.254263565891472,10.825736434108526,82,80.46666666666667,78.73333333333333,16.25581395348837,16.044341085271316,15.713178294573643
8,20,Male,Male,NA,White / Caucasian,Single,No,Probably yes,25,3,2.2222222222222223,2.2142857142857144,0.013454728788388133,0.40233774797561234,51794.8717948718,54102.5641025641,4,366.05128205128204,54.17948717948718,74,51000,50400,42000,10358.97435897436,10078.632478632479,8526.495726495727,235.2,452.1066666666667,51.573333333333316,73.2102564102564,94.94290598290598,19.264273504273497,58.4,69.2,50.96,10.835897435897435,13.743247863247863,10.08034188034188,74,74.81333333333333,72.38666666666667,14.799999999999999,14.96205128205128,14.496410256410256
9,19,Female,Female,Heterosexual,White / Caucasian,Single,No,Probably yes,26,3,5,2.5,0.0010021930053729987,-0.09112085437192795,40526.31578947369,NA,19.57894736842105,110.52631578947368,51.10526315789474,80,45000,41666.66666666667,NA,20263.15789473684,20087.71929824561,23421.052631578943,200,133.33333333333331,NA,55.263157894736835,51.754385964912274,118.42105263157895,60.5,53.5,NA,25.552631578947366,25.184210526315788,32.18421052631579,80,80,NA,40,40,40
10,19,Female,Female,Heterosexual,Black / African-American,Single,No,Definitely yes,26,4,1.3333333333333333,2.2857142857142856,0.015745324958769378,-0.10748747757058633,78333.33333333333,133333.33333333334,3.6666666666666665,9529.411764705883,55.27777777777778,79.83333333333333,70000,77777.77777777778,NA,26111.11111111111,26543.20987654321,21049.382716049382,28500,28500,46416.66666666667,4500,4500,NA,56.666666666666664,55.611111111111114,NA,18.425925925925924,18.36728395061728,18.09259259259259,79,79.55555555555556,NA,26.61111111111111,26.641975308641975,27.191358024691358
